1 2 3 4;1 4
2 3 294 295 296 297;2 3 296
124 298 299 300;299 300
301 302;302
303 304 305 306 307 308;308
309 310;309
94 96 173 311;94 173 311
2 190 222 258 264 265 288 312 313;190 264 265 288 312
314 315 316 317 318;314 316 318
125 319;125
320 321;320
159 164 322 323;159
13 324;13
77 98;77
325 326 327 328;327
329 330 331;330
332 333;333
334 335 336;335
337 338 339 340 341;337
342 343;343
269 270 344 345 346;346
347 348 349 350 351;351
72 352 353;72
68 71 354 355 356 357 358 359;354 357 358
22 193 360 361 362;193 361 362
190 363 364;363
211 212 365 366;365 366
21 139 140 367;139 140
368 369 370 371 372 373;370 371
325 374 375;375
376 377 378 379 380;376 377 379
381 382 383;381 383
384 385 386 387 388;384
5 24 26 389;5 389
20 21 22 139;20 139
20 21 23 140 390 391;20 21 23
392 393 394 395;392 393
57 354 356 396 397 398 399;354 356 397
5 235 236;5 235
32 400 401;400 401
402 403 404;402
405 406;405
407 408;407
170 193 271 272 409 410;193 271 410
12 13 95 96 173 363 411 412;12 96 412
413 414;413
415 416;416
417 418;417
12 13 324 419 420;12 420
159 421 422;422
166 167 275 277 279 423 424 425;166 277 279 425
426 427 428 429;426 428
33 430 431 432 433 434;430 434
57 59 89 136 398 435 436;57 59 89 436
437 438;438
439 440 441 442 443 444 445;439 442 443 444 445
326 327 446;326
52 447 448;52
449 450 451;449 450
132 452 453 454;453 454
455 456 457;455 457
1 458 459;1
460 461 462 463;460 462 463
464 465 466 467;465 466 467
468 469 470;469 470
471 472;472
16 344 345 473 474 475;16 473 475
337 338;337
476 477;476
375 478;478
479 480;480
93 481 482 483;93 482
290 291;291
137 276 484 485 486;276 484 486
189 487;487
266 488 489 490 491 492 493;266 489 490 491
20 22 139 140 494;20 22 139
495 496;496
497 498 499;498 499
500 501 502 503;501 502 503
265 268 429 455 504 505;265 268 429 505
140 506 507 508;140 506 508
509 510;509
511 512;511
37 38 121 362 513 514;37 38
515 516 517;517
157 274 275 279 518 519 520;157 279 519 520
21 23 140 494;21 140
39 521;521
522 523;523
233 524 525;233 524
526 527;527
20 21 22 139;20 21 139
528 529 530 531;528 529 530
52 532;52
533 534;534
12 62 250 252 535;62 250 252
415 536 537 538 539;539
540 541 542 543;540 542 543
544 545 546 547;545 546
185 548;185
266 549 550 551;550 551
325 327 328 552;325 552
359 553 554 555;359 555
556 557;557
558 559 560;560
12 324;12
374 561 562;561
46 563;46
3 564 565 566 567 568 569 570 571 572;3 568 569 571 572
426 573;573
574 575 576 577;574 575 577
220 232 470 480 578 579;480 578 579
20 248 580;248
581 582 583;581 582
584 585;584
275 277 279 423 470 518;277 279
27 29 586;29
74 129 130 131 159 587;129
415 588 589 590;589
462 546 591;546 591
47 178 179;179
443 444 592 593 594 595;443 444 592 594 595
248 338 596;338
197 198 597;197 597
125 164 598;164
599 600;599
2 3 181 182 183 601 602 603 604;3 181 182 183 602
7 273 516 605 606 607 608;273 516 608
609 610 611 612;612
613 614;613
20 195 410 615;195
72 407;72
157 616;616
617 618;618
295 381 504 619 620 621;619 621
190 247 410 453 608;190 247 453
133 272 622 623 624;133 272
625 626 627 628;627
27 29;29
133 195 410 629 630;195 629 630
132 381 631;381 631
178 179 632 633;179 632
6 12 634;634
15 635;15
60 422 517 632 636;632
323 637;637
12 94 96;94 96
612 638 639;612 638
180 640;640
190 266 641 642;642
330 640;640
643 644 645;643 644
20 22 100 373 646;22 100 646
647 648;647
21 139 140 494;21 139 140
326 649;649
64 650 651 652 653 654;64 650 651 653 654
655 656;655
502 611;502
657 658 659;658
12 471 660;471
121 410 661 662 663;121 661 663
537 664 665;664 665
666 667;666
149 301 668;301
286 669 670;669
233 273 546 671;233 273
421 672 673;672 673
230 674;674
57 58 97 98 151 213 675 676 677;57 58
82 678 679 680;679
492 561;561
460 681 682;681
248 683 684 685 686;248 686
213 662 687 688 689;213 662 688
473 690 691 692 693;473
204 205 694 695;204 205 694
166 273 696;273
139 366 494;366 494
578 697 698;697
133 271 273 608 699 700;133 271 273 700
701 702;702
703 704;704
132 427 453 454 561 705;453
706 707;706
443 444 595 708;443 444 595
123 377 709 710;123
6 20 561 615 711;615 711
545 607;607
57 190 399 480 537 664;399 480 537 664
8 558 712;8
62 216 292 713;62 713
61 82 325 326 714 715;325
217 648;648
213 687 716 717;213 716
163 220 255 424 718;163 718
133 170 232 233 272 579 608;133 170
385 719;719
335 720;720
438 547 721;438 547
636 712 722 723 724;636 712 723
555 725 726 727;725 727
222 301 470 666 728;301
729 730 731;729 731
476 638 732 733;732 733
140 526 734;140 734
266 364 735;735
265 464 736 737;265 737
500 513;500
110 217;110
46 208;46
325 326 446 649 719 738;719
656 739;739
740 741 742;741
743 744 745;743
55 60 746;55 60
133 166 170 247 271 453 747;166 170 247 747
121 284 416 514 748 749;121 284 416 514 748
536 750 751 752;536
61 753 754 755;754
756 757;757
530 569 571 572 758 759;530 759
316 317 760;316 317
480 578 699 700 761;578 699 700
657 762;657
635 763;635
2 3 220 504 603 621 764 765 766 767;2 3 765
344 345;345
623 768 769;768
97 223 381 382 619 770;381 382
325 328 771 772;328
61 292 628 773 774 775 776 777;61 292 628 773 775
50 667 778 779 780;778 779
353 781 782;781
781 782;781
544 783;783
3 297 644 758 784 785;785
134 195 786 787 788;195 787 788
674 789;789
32 314 481 790 791;481 790 791
18 19;18
64 589;64
325 385 792 793 794 795 796 797;385 792
124 125 126;125
798 799;798
800 801;801
802 803 804;803 804
248 356;356
34 805 806 807;34 805 807
248 686 808;248
303 304 809 810 811;304
321 439 812 813 814;812 813
2 3 181 182 603 765 815;2 3 181 182 603
303 304 306;304
73 74 126 129;73
450 816 817;450 816
125 126 322 374;125
818 819;819
820 821;821
53 822;53
46 823;823
824 825 826;825 826
167 213 453 500 501 827;500 501 827
37 709;37
303 719;719
12 13 94 828 829 830;12 94 829 830
813 831 832;813 831
756 833 834;756 833
835 836;836
306 307 837 838 839;306 307 839
840 841 842 843;840 841 842
48 714;714
844 845;845
183 599 766;599
110 112 648 846 847 848;648 846 847 848
333 849 850;333 850
5 389;389
666 728;666
52 851;52
327 628 773 852 853;773 852 853
72 74 128 226;72 74 226
12 94 96 854;94 96
262 610;262
855 856;855
124 140 489 857 858 859 860;124 857 858 859 860
546 861;546
862 863;862
864 865 866;866
356 397 741 867;397 741 867
17 79 110 868;17 79 110
816 869 870;816 870
871 872;872
747 780 873 874;873 874
545 875;545
81 650 652;81 652
346 876;346
12 95 96 173 174 877 878;95 96 173 877
879 880;880
872 881 882;881
303 883;883
248 813 817 884 885;813 884 885
303 325 385;325
886 887 888;887
352 556;556
325 738 889;889
64 80 248 292 626 808 890;64 80 626 890
15 220 891 892;15 892
628 893 894 895 896;628 893 894 895
354 356 397 458;356 458
341 897 898 899 900 901;341 899 901
248 683 686 902;248 683 902
666 728;666
424 576 903 904;903 904
20 21 170 248 580 625 683 686 905 906;20 248 683 686
12 95 96 173;12 95 96
489 883 893 907 908;489 883 908
909 910;910
63 67;63
320 826 911 912 913 914;826 914
724 915;724
124 125 916;125
112 636;636
218 411 742 807 917 918;218 411 742 917 918
919 920 921;919
57 58 396 399 435 922;57 58 396 399 922
496 719;496
923 924;923
925 926;926
927 928;928
79 82 83 84 695 754 929 930 931 932;82 83 84 754 932
182 500 501 933;182 500 933
320 440 813 831 934 935;813 934
124 125 126 162 374 637 936 937 938 939;124 637
26 27 28 923 940;26 27 28
941 942;942
129 352 557;129 557
332 333 492 493 849 850 943 944;333 493 850
657 659 945 946;946
325 649 738;325
18 33 947;18
3 182 183 604;183 604
560 948;948
178 179;179
325 327 328 375 446 772 949 950 951;325
150 952 953 954;952 953 954
20 21 22 140 494 955;21 22 140 494 955
582 956 957;956 957
536 958 959 960;960
961 962;962
72 74 76 963 964;964
732 733 965;732 733
192 622 966;192 966
962 967 968;968
21 23 140 494;23 140 494
504 798 969 970 971 972 973 974 975 976;798 973 974
269 511 977;511
105 106 107 180 381 621 978;105 106 107 978
124 125 941;125
979 980 981;980 981
8 722 982 983;8 722 982
31 824 884 984 985 986;824 884 985
862 863 896;862 896
320 813 987 988;813 987 988
79 354 358 612 931 989;354 358 612 931
377 378 839 990 991;377 839 991
34 272 354 358 397 741 922 992 993;354 358 922
248 625 686 808;248 808
98 641 994 995;994
112 996 997 998;997
303 304 306 308;303
110 112;110
872 999;872
732 1000 1001;732
506 508 1002 1003 1004;506 508 1002 1003
344 345 1005;1005
23 50 615 858 1006;23 615
961 1007;961
2 3 1008 1009 1010;1009 1010
896 1011;1011
567 827 836 903 936 1012 1013;827 936 1012 1013
1014 1015;1014
1016 1017;1016
12 13 94 173 311 1018;12 13 94 1018
1019 1020 1021;1019 1020
283 1022;1022
32 138 357 475 873 1023 1024;138 475
12 95 684 685 1025;12
127 129 131 775 1026;127 131 775
503 1027;503
190 220 669 670 1028;190 669 670 1028
21 49 50 667 859 860;49 50 667 859 860
248 625 890;248 890
21 140 494;140 494
38 1029 1030;1030
1031 1032;1031
876 977 1033 1034;1033
262 509 1033 1034 1035 1036 1037 1038 1039;1033 1034 1036 1038
667 858 1040;858 1040
10 79 82 241 1041 1042;79 241 1042
304 306;306
13 71 138 247 412 625 808 890;138 412 625 890
508 1043;508
676 721 833 999;676 833
218 354 411 830 867 1044 1045;218 354
61 340 465 467 1046;465 1046
185 548;185
313 491 656 676 1047;491 656 1047
701 740;701
385 792 793;385 792
265 271 1048 1049;265 1048 1049
348 350 497 546 681 770 1050 1051;497 770 1050 1051
69 71 481 482;69 71 482
1052 1053;1053
277 416 520 1054 1055 1056 1057;1056
325 327;327
132 413 1058;132 413
326 328 683;326 683
133 271 608;133 271
1059 1060 1061;1060 1061
75 527 1062 1063 1064 1065;527 1064 1065
117 329;117
28 1066 1067;1066
668 1068;668
73 76 1069 1070 1071;73 1069 1070
721 1072;721
632 1073 1074;1073
139 194 492;194
2 3 473 525 1075;473 525 1075
320 813 831;813
190 429 455 504;190 429
544 1076 1077;544 1076
73 74;74
688 689 1078;1078
1079 1080;1079
8 636 712 723;8
73 226;73
338 1081 1082;338
460 1083 1084 1085;460 1083
16 61 63 67 754 1086;16 63 67 1086
669 670 1087;670
9 1049;1049
830 1044 1088 1089;830 1044 1088
73 587;73
545 1000 1090;1090
268 1048 1091;268 1091
1092 1093;1092
110 112;112
500 501 933;500 501
1094 1095 1096;1094
8 636 722 983;636 722 983
462 956 1097 1098;462
2 765 766;2 765
17 216 573 791 1099 1100 1101;17 573
13 94 311 877 1102;13 311 877
872 1103;1103
20 23 391 964;20
190 213 662 687 688 1104;213 687
246 678 679 928 1105;1105
1106 1107;1107
12 13 94 95 173 174 311;12 94
1108 1109;1108
170 271 272;170 271
657 881 1110 1111;881
626 1112;626
301 308 625 686;301 308 625
124 159 941 1113;159 941
649 738;649
23 140 141 223;23 140 141
636 712 723 724 915;636 712 723 724
41 1114 1115 1116 1117 1118;1114
693 823;823
72 226 1119 1120;72 1119
124 125 637;124 637
220 425 574 662 852 1118 1121;220 852
20 21 139;20 21
478 719 949 1122;719
77 1123;77
1124 1125;1125
18 19;19
813 817 885 1126 1127;813 817 885 1126
1128 1129;1129
96 311 1130;311 1130
325 375 1122 1131 1132;375
31 315 812 884 986 1133 1134 1135 1136;31 812 1134
374 1137;374
102 103 254;102 254
12 13 94 95 96 173 174 311 324 1138;95 96 174 1138
95 173;173
1139 1140 1141 1142;1141
611 1143;1143
536 1144;536
225 1145;225
65 443 444 565 679 1146;65 443 444 1146
281 569 571 572 759 1147 1148 1149 1150;281 571 572 1148
122 192 193 222 815 966;122 192 193 815 966
97 460;460
1151 1152;1151
280 1147 1153 1154 1155;280 1147 1154
95 96 173 174 1138;96 174 1138
72 73 557;72
3 348 426 454 473 691 693 818;3 473 691
73 74 587;73
132 189 536 973 1156 1157;132 189 973 1156 1157
397 504 1158;397 1158
32 1159;1159
189 223 265 288 381 429 770 1160;429
98 1161 1162 1163 1164;1161 1163 1164
133 170 233 524 1165;133 170 233
946 1166;1166
174 484 553 1167 1168 1169 1170 1171 1172;484 1168 1169 1170
301 307 792 797 1173;797 1173
20 1174;1174
1175 1176 1177;1175
1178 1179;1178
137 215 266;137 215
752 1180;1180
302 325 327 328 496 719 1181 1182;302 719
37 1177;37
20 125 1183 1184;20 1184
817 824 825 1185 1186 1187;817 825 1187
270 344 506 818 819 1043 1188;344 506 818 1188
31 876 1126 1189 1190 1191;31 876 1189 1190 1191
1189 1192 1193 1194 1195 1196 1197;1197
356 742 917 993 1198 1199;356 742 917 1198
1200 1201;1200
10 17 36 420 469 807 868 1044 1202;36 420 469 807 1202
155 157;157
352 557 636;636
110 112 216 217 401 1203 1204;216 217 1204
571 572 666 1013 1205 1206;571 572 1013 1206
108 110 111 217 355 486 1207 1208;108 110 217 486 1207
325 738;325
150 1209 1210 1211 1212 1213;150 1209 1211 1213
836 903;836
501 1205 1214;1205 1214
73 74 127 1178 1215;74 1178 1215
73 74;74
1182 1216;1216
26 29 1217 1218;1218
57 59 91 151 190 1219;59 91 151 1219
1189 1197 1220 1221;1220 1221
139 666 1060 1222 1223;139 666 1060 1223
537 538 664 1203 1224;537 538 1203 1224
53 72 557 636 963 1225 1226 1227;53 72 963
72 73 74 127 129 130 131 352 556 1026;131 1026
903 936 1228;903
12 94 174 311 324 359;12 94 311 324
177 243 678 979 1046 1229 1230;678 979 1229
1168 1231 1232;1231 1232
581 1233;581
40 192 1117 1234;40 1234
53 1059;1059
94 173 311;94
1235 1236;1235
190 213 273 716 1237;190 273
132 454 524 665;132 454 524
160 941;941
170 272 365 519 1238;170 519 1238
2 137 486 1239 1240;137 486 1239 1240
124 125 126;125 126
24 494 1060 1222 1241;24 494 1222
150 1242 1243 1244;150 1242 1244
26 27 28 29 255 732 1067 1245 1246;26 27 28 29 1245
1017 1247;1247
1248 1249;1248
195 273;195
225 500 501 558 933 1143;225 933
69 70 71 695;69 71
62 64 251 1250;62 64
1251 1252 1253;1253
600 815;815
54 579;54
143 144 145 167 602 1254 1255;143 144 145 1254 1255
46 208 1256;46 1256
248 686 808;248 808
849 1257;849
1022 1258 1259;1022 1259
12 94 311 412 839;12 94 311
225 501 933;225 501
39 521;521
596 812 813;812 813
2 3 181 370 568 569 701 765 766 1260;2 3 765
1129 1261;1129
208 823;208
707 943;943
812 813 831;812 813
108 112 216 217 239 1262;112 216 217
467 979 980 981 1229;980 1229
643 644 1263 1264 1265;643 1263 1264 1265
165 281 286 347 1147 1148 1266 1267;165 281 347 1147 1148
124 126;126
5 235 389 477;5 235 389
1089 1129;1129
199 1268;199
532 1249 1269 1270 1271;532
205 206 876 1086;205 206 1086
140 223 619;140
474 760;760
169 1191 1193 1195 1272;1195 1272
707 849 1273;849
357 742 922;357 922
301 302 304 307 308 719 1274;301 719
62 165 876 1130 1275;62
324 981 1276;324 1276
212 304 306 795 923 1277;212 306 923 1277
68 69 71 359 380;68 71 359 380
862 912 1278 1279;862 1279
57 58 151 399 897 1207 1280;58 151 399 1280
972 1281;972
5 23 330;330
176 1282;176
322 323 676 851 974 1283;974 1283
140 330;330
582 1284 1285;1285
170 220 579 780 873 1286;170 780 1286
478 506;506
3 181 599 765 766 1287;3 181 766 1287
124 353 637 941;941
149 150 858 1019;149
183 604 765 766;765
320 678 929 979 1190 1191 1288;1190 1288
936 938;936
491 551 656;491 656
2 3 181 604 766 1289;2 3 604
396 609;609
208 823;823
2 3 600 765 815 1287;600 765 815 1287
79 84 239 292 1290;84 1290
530 571 572 759 1291 1292;530 571 759 1291 1292
352 353;353
1293 1294;1294
190 265 505 1047 1124 1295;1047
960 1022 1259 1296;1259
20 194 195 630 788 1055;20 1055
12 13 95 96 173;12 95 96 173
62 249 1297;62 1297
144 188;188
241 244 1042;241 1042
392 395 428;395 428
54 740 1298;54 740
20 112 114 195 535 615 804 1299 1300 1301;112 114
659 1302;659
421 596 622 1091 1303 1304 1305;1303 1305
1306 1307;1307
334 460 462 1308 1309;460 462 1308
1310 1311;1310
140 410 489 699 700 1171 1240 1312 1313;1171 1313
124 637;637
1314 1315 1316;1316
303 304 428 1317;303 428
62 1130 1318 1319 1320;1130 1319
701 1321;1321
219 356 469 931;469
415 1322;1322
1323 1324 1325 1326;1323 1324 1325
17 110 135 216 791 1099 1327 1328;17 1099 1327
325 328;328
8 636 712;8 636
136 137 190 287 897 1023 1207 1312 1329 1330;136 137 897 1207 1312
334 1156 1247;334 1247
33 34 35 112 233 805 806 1331 1332;34 35 805 1332
139 660 686;686
271 480 579;271 579
994 1333;994
50 667 800;667 800
224 635 666 728 798 972 1013 1334;224 635 666 798 972
1156 1335;1156
64 65 250 252 912 1278 1319;64 250 252 1278
158 1171 1240 1312 1330;1330
1336 1337;1336
177 467 1338;467 1338
640 1339 1340 1341;1340
49 1034 1038 1342 1343 1344 1345;1038 1342 1343 1345
326 327 628;326 628
12 13 95 96 173;12 13 96 173
1256 1346 1347 1348;1256
110 112 217 1100 1349 1350 1351;110 112 1349
320 813 876 1352;320 813
117 840;840
359 650 890 1353;650 890 1353
409 795 1140 1141 1354 1355;1355
662 803;803
353 357 781;781
165 371 372 1265;165 371 1265
616 1356;1356
1357 1358;1357
12 94 95 311;94 95 311
955 1108 1109;955
46 47 1359;46
1347 1360;1347
637 1361;637
650 651 979 1229;651 979 1229
304 306 325 908 1306 1362 1363;908 1306
54 1364;1364
143 145 147 148 184 188;143 145 148 184 188
547 1072 1234 1365;547
990 1366;990
812 813 814 831;812 813 831
543 1367;543
303 308 328;308
1368 1369;1369
1370 1371;1371
397 741 742 867 917 1198;397 741 917 1198
332 333;333
320 813 814 934;813 934
96 311 1138;96 311
381 429;429
712 722 723;712
273 873;273
20 22 140;20
104 362 1372 1373 1374;362 1372 1373 1374
544 944 1076;944
712 722;712
659 946;659
1375 1376;1376
1377 1378;1377
57 87 90 91 454 583 691 1379;87 91 583 691
563 887;563
139 194 625 660 686 1380;1380
223 225 330 383 502 611 1205 1214;225 330 1214
1381 1382;1382
212 519;519
1383 1384;1384
224 1143 1214;224 1214
102 1385 1386;102 1385
1387 1388;1387
67 82 177 248 466 650 651 678 776 1230;67 651 678 1230
368 1389 1390;1389
9 194 660;660
871 1391;871
325 326 327 328 375 478 719;326
20 21 139 494 1392;20 139 494 1392
704 1393;1393
306 308 510 1270 1277 1394;308
117 329;329
744 1095 1395 1396 1397;1396
636 722 983;636 983
20 21 140 494;21 140
12 13 173 311;12 13
707 1398;1398
159 162 216 322;162 216
139 490 493 711;139
1201 1399;1399
57 58 89 399 435;57 58 89 399
10 82 84 241 242 912 1290;241 242
248 301 307 308 686 1400;248 307 308 686 1400
72 226;226
1401 1402 1403;1402
581 1404;1404
232 268 286 296 429 665 806;665
791 1022 1405;1405
124 125 322 941;125
1095 1395 1406 1407 1408 1409;1407 1409
219 1410 1411;1411
459 704;704
325 949 950 951 1132 1412;951
182 455 586 1067 1147 1148 1413;586 1067 1413
406 862 928 1318 1414;862 928 1318
132 453 454 611 721 1415;132 721
1416 1417;1417
1418 1419;1418
22 330;330
1420 1421 1422;1420 1422
361 1423 1424;361 1424
94 95 96 173 311;94 95 96 311
34 35 805 1425;34 805 1425
921 1426;921
271 272 273 1264;271 272 273
182 851 1420 1427 1428 1429 1430 1431 1432;1427 1428 1430
21 22 140 640 675;21 22 140 640
852 1433 1434;1433
467 884 918 1187 1435;884 1187 1435
24 460 1436 1437 1438;460 1436 1437 1438
218 354 397 867 922 1439;218 354 397 867 922
1440 1441;1441
1442 1443;1443
458 1444;1444
477 1421;477
1445 1446 1447;1445
12 324;12
1431 1448;1448
91 312;91
1049 1449;1049
321 441 831 885 1450 1451;321 441 831 885 1451
85 789;85
29 78 1452;29 1452
57 214 695 1199 1207 1439 1453;57 214 695 1199 1207
127 226;226
249 301 304 307 1380;307
87 454 765 1454;87 1454
1 425 703;703
460 1455;460
150 1161 1456 1457;150 1161
124 527;124
563 887 1458 1459 1460;1458
68 71 1353 1461;68 71 1353
136 275 277 1462;136 277 1462
29 185 492 544 1076 1452;29 1452
124 374;374
15 1463;1463
12 173 174 1202 1368 1464;12 1202 1368
20 625 808;625
1156 1465;1465
201 1466 1467 1468 1469 1470;1466 1467 1468 1470
502 611 646 1471;502
1472 1473;1473
493 705 833 834;705 834
20 23 139 140 714;20 23 139 140
581 1404 1474;1404
78 1077 1421;78
962 1475 1476 1477 1478;962 1476 1477 1478
20 1479 1480 1481 1482;1481
70 432 1483 1484;432 1483
1485 1486;1486
827 1487;827
190 936 1488;936
139 1489;139
191 215 312 383 874 1163 1164 1462 1490 1491;1462
62 1230 1297 1492 1493;62 1492 1493
332 413;413
465 467 928 979 980 1046 1229 1494 1495;467 979 1046 1229
845 1049 1496;845 1496
10 32 109 644 1100 1349 1497 1498;32 1100 1498
459 1499;459
332 333;333
480 579;579
73 74;73
284 514 1373;284 1373
1315 1316;1316
982 1500 1501;1500
420 1502 1503;1503
1142 1355 1504;1355
225 500 1214 1505;225 500 1214
466 1494;1494
847 1506;1506
866 1344 1345 1507 1508 1509;1345 1509
74 127 131 556 1026;127
883 1510 1511;1510 1511
124 1512;1512
1407 1513;1407
73 74 129 471 982 1514;73 129 982
173 638 1102;173
61 67 150 292 777 901 1038;67 150 292 901 1038
353 1226;353
195 214 688 1439 1515 1516;214 688
178 179;178
563 887;887
909 910 1517;1517
1409 1518;1409
1519 1520 1521;1519 1520
385 756;385
812 813 831;812 813
1522 1523;1523
5 236;236
22 140 501;140
248 627;627
547 721;721
178 1524;178
1404 1474;1474
23 470 480 579 1525;1525
275 277 855 1526;277
133 149 560 608 1143 1527;133 560 1527
20 21 139 494;20 21 139
107 1224 1528 1529 1530;1224 1528 1529
825 957 1531;1531
62 64 65 250;62 64
12 94 311;12 94
64 249 250;250
218 357 397 741 867 922;218 357 397 741 867
190 266 312 429 504;190 312 429
50 257 265 667 952 1532;50 257 265 667 952
303 1132;303
817 884 985;985
364 508 735;364 735
138 248 471 626 906 1171 1400 1533;138 906 1171
426 505 601 621 1205 1534;426 601
236 237;236
98 190 500 970 1535 1536 1537;190 500 1535 1536 1537
54 1062 1538;54 1062
21 824;824
532 1501 1539;1501
647 648;647
78 732 1540;732 1540
73 1211;1211
321 449 885;321 885
81 246 441 565 777 929 1541;441 1541
1235 1236;1236
660 686 934 1542;660
547 1312;547
413 1073;413
132 167 232 382 453;167 232 382 453
588 1543;588
460 546 875;460 875
546 629;629
117 175 176 1544 1545;176 1545
1464 1480 1546;1464
62 64 66 241 243 252;62 64 252
195 303 304 306 375 759 1164;195 303
96 173 839;173 839
241 979 980 1229;979 1229
460 544 1216 1362 1436;460 544 1436
121 748 1547 1548 1549;121 748 1549
1292 1550 1551 1552;1292 1551 1552
124 637 827 1553;124 637
215 584 1401 1501 1554;584 1554
320 812 814;320 812
216 217 1555;216
616 962 1556;962
55 60 672;55 672
20 21 139 140;20 139
443 813 831 885 1190 1191 1557;443 813 885 1190 1191
814 1189 1197;1197
20 1558;20
625 686 792 808 853 1380 1559;625 686 1380 1559
248 808 1237 1560;248 808
232 1266 1561 1562 1563;232 1266 1561
470 879 880;880
325 328 503 885;325 503 885
574 709;709
124 941;941
567 835 836 903;836
911 1564 1565;1565
124 637 781;124
253 1386 1463;253 1386
1209 1507 1566 1567;1567
409 503 795 1354 1355;1355
159 374 916 1553 1568 1569 1570;374 1553 1569
532 1571;532
12 94 96;94 96
60 829 830 931 993 1044 1202 1572;830 931 1044 1202 1572
157 281 1106;1106
301 302 303 1059;302 303 1059
124 125;125
300 374 1573 1574;374 1573 1574
17 72 74 216 226 407 556 1463 1575;72 226
125 126 164 1576;125 126 164
9 53 517 1061 1577;9 53 517 1061
480 578 747 874;480 578
1177 1578;1578
46 823;46
273 516 578 699 700 873;273 516 699 700 873
60 695;60
340 754;754
12 95 173 311;12 311
346 1579;1579
537 538 664 1002 1003 1580 1581 1582;538
33 34 35 356 742 806 913 1583 1584;34 35 356 742
21 25 121 122 686 748 1585 1586;121 122 748 1585 1586
62 249 250;62
20 21 22 23 139;20 21 23
449 632 812 1127;632 812 1127
20 21 22 140;21 22 140
500 501 933;501
112 216;112
39 1587;39
1168 1519;1168
23 139 334;139
781 1553;781
81 652 1230;81 652
322 374 1570 1576;374
12 174 324;324
73 74;74
72 76;72
20 22 494 1241 1392 1588;20 22 494 1241 1392
1258 1339 1458 1589;1339 1589
315 316 317 823 824 825 1590 1591 1592;315 316 823 1590
925 926 1528;925 1528
425 426 641 659;641
61 63 754 755 1349 1593;61 63 1593
248 625 683;248 683
248 625 686 1594 1595;248 686
15 892 1463;1463
32 91 272 623 788 1156 1304 1596;32 623 788 1304
166 247 271 516 780 815 1502;166 247 815 1502
22 330;330
20 22 140 494;20 22 494
112 674 838 1270 1597;838 1270 1597
173 174 1138;174 1138
1141 1142;1142
5 236;236
719 1419;1419
166 215 296 381 531 623 769 818 1028 1304;166 623 769
21 494 1060 1598;1060
8 983;983
37 39;39
275 664;275
320 813 934;813 934
380 1478 1526;380 1478
1599 1600;1600
377 748;377
325 326 446 738 1538 1601 1602;738 1538
69 554 1478;69 554
742 867 917 1044 1584 1603;742 917 1044 1584
303 304 306;306
92 525;525
574 1235 1236;1235
241 242 243 244;241 242 243
650 979 980 981 1229;979 980 981 1229
709 1604;1604
625 808 890;625 890
12 174;12
320 813 831 1418;1418
13 94 174 324 1138;94 174 324 1138
645 1605 1606;1605
948 1607;948
678 679 1531;679 1531
210 527 956 1538 1608;210 956 1608
94 311 660 826 885 1609;94 826 885 1609
21 149 168 301 668 1037;149 168 301 1037
64 65 292 1610;65 292 1610
37 598 1233 1377;37 598 1377
23 596;596
122 284 748 1372 1548 1611;122 284 748 1611
127 128 131 495;127 128 131
100 140 373 391 1612;100 140 1612
160 374 1613;1613
320 440 813 831 934;440 813 934
2 569 765 1614;2 569 765
